id,date,establisment,total,tip,grubhub,timePay,mileagePay,miles,bonus,acceptedAt,streetName,city,zip,canceled,popUp,type,lat,long,rating
1,7/2/2021,Shere E Punjab,11.14,3.18,7.96,3.55,2.53,11,1.88,11:31:00 AM,"""3319 301 Byers Dr #15""",Glen Mills,19342,,,Indian,39.88499,-75.52817,4
2,7/4/2021,McDonald's,11.34,3.99,7.35,2.51,1.6,6.96,3.24,12:43:00 PM,1 Christy Dr,Concordville,19331,,,Fast Food,39.8822,-75.54521,1.5
3,6/27/2021,Tsunami,11.83,5.43,6.4,3.58,1.82,7.91,1,4:22:00 PM,10 Market St,West Chester,19382,,,Asian,39.95963,-75.60473,4
4,7/13/2021,Chipotle,13.4,8.78,4.62,3.48,1.14,4.96,0,4:29:00 PM,101 Turner Ln,West Chester,19380,,,Mexican,39.96945,-75.58764,2
5,7/9/2021,Chipotle,9,4.04,4.96,2.91,1.79,7.78,0.26,12:15:00 PM,101 Turner Ln,West Chester,19380,,,Mexican,39.96945,-75.58764,2
6,7/1/2021,Chipotle,15.4,11.15,4.25,3.38,0.87,3.78,0,6:01:00 PM,101 Turner Ln,West Chester,19380,,,Mexican,39.96945,-75.58764,2
7,7/1/2021,Chipotle,12.13,7.14,4.99,3.31,1.68,7.3,0,4:15:00 PM,101 Turner Ln,West Chester,19380,,,Mexican,39.96945,-75.58764,2
8,6/24/2021,Chipotle,5.22,0,5.22,3.97,1.25,5.43,0,4:48:00 PM,101 Turner Ln,West Chester,19380,,,Mexican,39.96945,-75.58764,2
9,6/13/2021,KFC,11.19,4.96,6.23,3.15,2.08,9.04,1,4:05:00 PM,104 Pottstown Pike,Exton,19341,,,Fast Food,40.02895,-75.62947,1.5
10,6/22/2021,La Tartine,9.5,5.37,4.13,2.56,0.57,2.48,1,12:00:00 PM,109 W Gay St,West Chester,19380,,,Mediterranean,39.96016,-75.60666,4.5
11,7/13/2021,Wayback Burger's,12.63,8.54,4.09,2.81,1.28,5.57,0,7:56:00 PM,1107 West Chester Pike #1,West Chester,19382,,,American,39.9698,-75.5743,2.5
12,7/11/2021,Fusion,14.39,8.61,5.78,4.18,1.6,6.96,0,5:08:00 PM,1107 West Chester Pike #1,West Chester,19382,,,Asian,39.97036,-75.57473,4
13,7/3/2021,Applebee's,10.47,7.16,3.31,2.53,0.78,3.39,0,4:07:00 PM,1107 West Chester Pike #1,West Chester,19382,,,Sports Bar,39.96931,-75.57397,3
14,7/1/2021,Wayback Burger's,12.72,5.4,7.32,4.4,2.92,12.7,0,7:26:00 PM,1107 West Chester Pike #1,West Chester,19382,,,American,39.9698,-75.5743,2.5
15,6/22/2021,Wayback Burger's,8.16,3.71,4.45,2.96,1.19,5.17,0.3,6:28:00 PM,1107 West Chester Pike #2,West Chester,19382,,,American,39.9698,-75.5743,2.5
16,6/18/2021,Wayback Burger's,6.22,4.22,2,1.89,0.11,0.48,0,12:55:00 PM,1107 West Chester Pike #3,West Chester,19382,,,American,39.9698,-75.5743,2.5
17,6/13/2021,Applebee's,10.26,5.27,4.99,2.57,0.86,3.74,1.56,5:36:00 PM,1107 West Chester Pike #3,West Chester,19382,,,American,39.96931,-75.57397,3
18,6/13/2021,Applebee's,8.34,5,3.34,2.74,0.6,2.61,0,4:48:00 PM,1107 West Chester Pike #3,West Chester,19382,,,American,39.96931,-75.57397,3
19,7/13/2021,Qdoba,10.68,5.73,4.95,3.48,1.47,5.73,0,7:33:00 PM,1107 West Chester Pike Space B4,West Chester,19382,,,Mexican,39.96956,-75.57456,3
20,7/11/2021,Qdoba,7.09,2,5.09,3.31,1.78,7.74,0,4:03:00 PM,1107 West Chester Pike Space B4,West Chester,19382,,,Mexican,39.96956,-75.57456,3
21,7/1/2021,Qdoba,8.2,2.65,5.55,2.94,1.21,5.26,1.4,5:00:00 PM,1107 West Chester Pike Space B4,West Chester,19382,,,Mexican,39.96956,-75.57456,3
22,6/27/2021,Qdoba,7.93,2,5.93,2.92,0.94,4.09,2.07,5:59:00 PM,1107 West Chester Pike Space B4,West Chester,19382,,,Mexican,39.96956,-75.57456,3
23,6/25/2021,Qdoba,10.88,8.58,2.3,1.58,0.72,3.13,0,11:53:00 AM,1107 West Chester Pike Space B4,West Chester,19382,,,Mexican,39.96956,-75.57456,3
24,6/25/2021,Qdoba,7.2,3.59,3.61,2.6,1.01,4.39,0,11:53:00 AM,1107 West Chester Pike Space B4,West Chester,19382,,,Mexican,39.96956,-75.57456,3
25,6/18/2021,Qdoba,9.58,5,4.58,3.42,1.16,5.04,0,11:43:00 AM,1107 West Chester Pike Space B4,West Chester,19382,,,Mexican,39.96956,-75.57456,3
26,6/16/2021,Qdoba,8.89,5.88,3.01,2.24,0.77,3.35,0,11:45:00 AM,1107 West Chester Pike Space B4,West Chester,19382,,,Mexican,39.96956,-75.57456,3
27,6/16/2021,Qdoba,6.32,3.32,3,2.77,0.23,1,0,11:33:00 AM,1107 West Chester Pike Space B4,West Chester,19382,,,Mexican,39.96956,-75.57456,3
28,7/9/2021,Panera Bread,8.48,4.21,4.27,2.77,1.5,6.52,0,11:59:00 AM,1115 West Chester Pike,West Chester,19382,,,Sandwiches,39.97064,-75.57393,3
29,7/3/2021,Panera Bread,20.25,16.12,4.13,3.05,1.08,4.7,0,3:02:00 PM,1115 West Chester Pike,West Chester,19382,,,Sandwiches,39.97064,-75.57393,3
30,6/24/2021,Panera Bread,15,10.69,4.31,3.47,0.84,3.65,0,4:09:00 PM,1115 West Chester Pike,West Chester,19382,,,Sandwiches,39.97064,-75.57393,3
31,6/22/2021,Panera Bread,10.45,5.43,5.02,3.59,1.43,6.22,0,4:45:00 PM,1115 West Chester Pike,West Chester,19382,,,Sandwiches,39.97064,-75.57393,3
32,7/13/2021,Sterling Pig,15.96,12.39,3.57,2.86,0.71,3.09,0,5:39:00 PM,113 W Market St,West Chester,19382,,,American,39.95923,-75.60619,4
33,6/27/2021,Sterling Pig,13.87,7.26,6.61,4.31,2.3,10,0,3:19:00 PM,113 W Market St,West Chester,19382,,,American,39.95923,-75.60619,4
34,7/7/2021,West Chester Diner,8.9,5.44,3.46,3.1,0.36,1.57,0,11:12:00 AM,1147 West Chester Pike,West Chester,19382,,,American,39.97028,-75.56772,2.5
35,6/18/2021,Tyga Bites,8.04,2.7,5.34,3.18,1.16,5.04,0,12:55:00 PM,1147 West Chester Pike,West Chester,19382,,Yes,Fast Food,39.97028,-75.56772,2
36,6/17/2021,Sunny & Fine,8.22,5.15,3.07,2.34,0.73,3.17,0,2:49:00 PM,1147 West Chester Pike,West Chester,19382,,Yes,Mexican,39.97028,-75.56772,2
37,6/30/2021,Primo,8.41,3.13,5.28,4.2,1.08,4.7,0,12:29:00 PM,1149 West Chester Pike,West Chester,19382,,,Sandwiches,39.97026,-75.56727,3.5
38,6/30/2021,Primo,7.38,3,4.38,3.16,1.22,5.3,0,11:48:00 AM,1149 West Chester Pike,West Chester,19382,,,Sandwiches,39.97026,-75.56727,3.5
39,6/23/2021,Primo,5.49,3.49,2,1.72,0.28,1.22,0,12:16:00 PM,1149 West Chester Pike,West Chester,19382,,,Sandwiches,39.97026,-75.56727,3.5
40,6/23/2021,Primo,10.73,5.48,5.25,3.54,1.71,7.43,0,12:16:00 PM,1149 West Chester Pike,West Chester,19382,,,Sandwiches,39.97026,-75.56727,3.5
41,6/17/2021,Primo,6.83,2.18,4.65,3.59,1.06,4.61,0,11:59:00 AM,1149 West Chester Pike,West Chester,19382,,,Sandwiches,39.97026,-75.56727,3.5
42,6/16/2021,Primo,11.76,7.93,3.83,1.76,0.38,1.69,1.69,11:45:00 AM,1149 West Chester Pike,West Chester,19382,,,Sandwiches,39.97026,-75.56727,3.5
43,6/22/2021,Wawa,5.48,2,3.48,2.38,1.1,4.78,0,2:37:00 PM,1195 Pottstown Pike,West Chester,19380,,,Fast Food,39.99084,-75.61585,3
44,7/3/2021,Saucey,5.52,2.5,3.02,2.76,0.26,1.13,0,1:51:00 PM,12 E Market St #3151,West Chester,19382,,,Pizza,39.96001,-75.60401,3
45,6/17/2021,Saucey,6.36,3.08,3.28,2.52,0.76,3.17,0,3:07:00 PM,12 E Market St #3151,West Chester,19382,,,Pizza,39.96001,-75.60401,3
46,6/22/2021,Nick's,9.17,3.87,5.3,3.01,1.29,5.61,1,4:05:00 PM,1215 West Chester Pike,West Chester,19382,,,American,39.96934,-75.55978,3.5
47,7/8/2021,Anthony's,13.56,7.97,5.59,4.34,1.25,5.43,0,5:09:00 PM,123 E. Swedesford Road Suite K-L,Exton,19341,,,Pizza,40.03634,-75.62843,4
48,7/11/2021,Pica's Restaurant,9.18,6.18,3,2.29,0.71,3.09,0,5:28:00 PM,1233 West Chester Pike,West Chester,19382,,,Pizza,39.96878,-75.55725,3.5
49,7/1/2021,Pica's Restaurant,10.37,6.18,4.19,2.93,1.26,5.48,0,4:33:00 PM,1233 West Chester Pike,West Chester,19382,,,Pizza,39.96878,-75.55725,3.5
50,6/27/2021,Pica's Restaurant,14.73,2,12.73,3.69,1.99,8.65,7.05,5:28:00 PM,1233 West Chester Pike,West Chester,19382,,,Pizza,39.96878,-75.55725,3.5
51,6/13/2021,Pica's Restaurant,22.86,18,4.86,3.74,1.12,4.87,0,6:06:00 PM,1233 West Chester Pike,West Chester,19382,,,Pizza,39.96878,-75.55725,3.5
52,6/13/2021,Pica's Restaurant,11.08,7.29,3.79,3.32,0.47,2.04,0,5:54:00 PM,1233 West Chester Pike,West Chester,19382,,,Pizza,39.96878,-75.55725,3.5
53,7/11/2021,Bonchon,13.14,7.27,5.87,4.18,1.63,7.09,0,4:23:00 PM,124 E Market St,West Chester,19382,,,Asian,39.96071,-75.60236,3.5
54,7/7/2021,Bonchon,6.9,3.9,3,2.61,0.39,1.7,0,11:53:00 AM,124 E Market St,West Chester,19382,,,Asian,39.96071,-75.60236,3.5
55,7/3/2021,Rai Rai,12.6,7.66,4.94,4.03,0.91,3.96,0,3:38:00 PM,124 E Market St,West Chester,19382,,,Hawaiian,39.96058,-75.60263,4.5
56,7/1/2021,Rai Rai,6.42,4,2.42,2.34,0.08,0.35,0,5:26:00 PM,124 E Market St,West Chester,19382,,,Hawaiian,39.96058,-75.60263,4.5
57,6/25/2021,Rai Rai,18.62,8.62,10,2.92,1.08,4.7,6,6:14:00 PM,124 E Market St,West Chester,19382,,,Hawaiian,39.96058,-75.60263,4.5
58,6/22/2021,Rai Rai,6.88,4.88,2,1.77,0.23,1,0,5:36:00 PM,124 E Market St,West Chester,19382,,,Hawaiian,39.96058,-75.60263,4.5
59,6/22/2021,Rai Rai,7,4,3,2.63,0.37,1.61,0,5:36:00 PM,124 E Market St,West Chester,19382,,,Hawaiian,39.96058,-75.60263,4.5
60,6/13/2021,Rai Rai,8.4,4.93,3.47,2.1,0.37,1.61,1,5:00:00 PM,124 E Market St,West Chester,19382,,,Hawaiian,39.96058,-75.60263,4.5
61,7/11/2021,Saladworks,12.17,2.5,9.67,4.36,2.8,12.17,2.51,11:59:00 AM,124 Woodcutter St,Exton,19341,,,American,40.02293,-75.62919,4
62,7/1/2021,Saladworks,11.48,5.77,5.71,4.38,1.33,5.78,0,12:10:00 PM,124 Woodcutter St,Exton,19341,,,American,40.02293,-75.62919,4
63,7/13/2021,China Palace,8.45,3.49,4.96,3.27,1.69,7.35,0,7:14:00 PM,1251 West Chester Pike,West Chester,19382,,,Asian,39.96876,-75.55584,4
64,7/11/2021,China Palace,15.97,9.45,6.52,4.09,2.43,10.57,0,3:33:00 PM,1251 West Chester Pike,West Chester,19382,,,Asian,39.96876,-75.55584,4
65,7/6/2021,China Palace,8.97,4,4.97,3.47,1.5,6.52,0,8:10:00 PM,1251 West Chester Pike,West Chester,19382,,,Asian,39.96876,-75.55584,4
66,7/1/2021,China Palace,11.45,8,3.45,2.66,0.79,3.43,0,5:52:00 PM,1251 West Chester Pike,West Chester,19382,,,Asian,39.96876,-75.55584,4
67,6/25/2021,China Palace,7.73,2,5.73,2.88,0.81,3.52,2.04,6:03:00 PM,1251 West Chester Pike,West Chester,19382,,,Asian,39.96876,-75.55584,4
68,6/24/2021,China Palace,8.49,3.05,5.44,3.34,1.12,4.87,0.98,7:09:00 PM,1251 West Chester Pike,West Chester,19382,,,Asian,39.96876,-75.55584,4
69,6/22/2021,China Palace,8,5,3,2.37,0.63,2.74,0,6:40:00 PM,1251 West Chester Pike,West Chester,19382,,,Asian,39.96876,-75.55584,4
70,6/22/2021,China Palace,14.45,9,5.45,4.03,1.42,6.17,0,4:23:00 PM,1251 West Chester Pike,West Chester,19382,,,Asian,39.96876,-75.55584,4
71,7/15/2021,Philly Pretzel,14.51,9.23,5.28,3.89,1.39,6.04,0,12:49:00 PM,126 Eagleview Blvd A,Exton,19341,,,American,40.04943,-75.66344,3.5
72,7/8/2021,Roots Cafe,10.46,6.76,3.7,3.27,0.43,1.87,0,10:38:00 AM,133 E Gay St,West Chester,19380,,,American,39.96181,-75.60303,4.5
73,6/13/2021,Roots Cafe,11.43,9.43,2,1.81,0.19,0.83,0,12:10:00 PM,133 E Gay St,West Chester,19380,,,American,39.96181,-75.60303,4.5
74,6/25/2021,Farm and Crave,8.94,2.93,6.01,2.81,1.06,4.61,2.14,5:32:00 PM,134 E Gay St,West Chester,19380,,Yes,n/a,39.96181,-75.60303,n/a
75,7/15/2021,Duck Donuts,8.49,4.41,4.08,3.06,1.02,4.43,0,11:01:00 AM,1353 Wilmington Pike,West Chester,19382,,,Fast Food,39.90362,-75.56366,3.5
76,7/7/2021,El Limon,10.17,3.73,6.44,4.11,2.33,10.13,0,12:47:00 PM,1371 Wilmington Pike,West Chester,19382,,,Mexican,39.90406,-75.56283,4
77,7/2/2021,El Limon,22.55,15.61,6.94,4.95,1.99,8.65,0,5:48:00 PM,1371 Wilmington Pike,West Chester,19382,,,Mexican,39.90406,-75.56283,4
78,7/2/2021,El Limon,19.49,14.31,5.18,3.47,1.71,7.43,0,4:33:00 PM,1371 Wilmington Pike,West Chester,19382,,,Mexican,39.90406,-75.56283,4
79,6/25/2021,El Limon,17.94,9.32,8.62,4.65,2.97,12.91,1,4:04:00 PM,1371 Wilmington Pike,West Chester,19382,,,Mexican,39.90406,-75.56283,4
80,6/24/2021,El Limon,6,4,2,1.7,0.3,1.31,0,5:58:00 PM,1371 Wilmington Pike,West Chester,19382,,,Mexican,39.90406,-75.56283,4
81,6/24/2021,El Limon,11.84,4,7.84,4.79,3.05,13.26,0,5:58:00 PM,1371 Wilmington Pike,West Chester,19382,,,Mexican,39.90406,-75.56283,4
82,7/14/2021,Wasabi2,8.42,4.59,3.83,2.66,1.17,5.09,0,11:01:00 AM,1375 Dilworthtown Rd,West Chester,19382,,,Asian,39.90393,-75.56262,4.5
83,7/2/2021,Wasabi2,14.72,10.17,4.55,3.74,0.81,3.52,0,6:42:00 PM,1375 Dilworthtown Rd,West Chester,19382,,,Asian,39.90393,-75.56262,4.5
84,6/27/2021,Wasabi2,14.78,5,9.78,4.26,2.46,10.7,3.06,5:07:00 PM,1375 Dilworthtown Rd,West Chester,19382,,,Asian,39.90393,-75.56262,4.5
85,6/18/2021,Wasabi2,12.84,7.2,5.64,3.68,1.96,8.52,0,2:00:00 PM,1375 Dilworthtown Rd,West Chester,19382,,,Asian,39.90393,-75.56262,4.5
86,7/15/2021,Pita Pit,6.27,1.2,5.07,2.9,1.3,5.65,0.87,10:27:00 AM,139 W Gay St,West Chester,19380,,,Mediterranean,39.95983,-75.60733,4
87,6/24/2021,Pita Pit,9.24,4.98,4.26,3.03,1.23,5.35,0,6:35:00 PM,139 W Gay St,West Chester,19380,,,Mediterranean,39.95983,-75.60733,4
88,7/11/2021,Enzo's Italian,12.78,4.93,7.85,2.07,0.78,3.39,5,6:17:00 PM,1400 Wilmington Pike,West Chester,19382,,,Italian,39.90082,-75.56365,3.5
89,7/8/2021,Enzo's Italian,9.12,7,2.12,1.24,0.88,3.83,0,6:52:00 PM,1400 Wilmington Pike,West Chester,19382,,,Italian,39.90082,-75.56365,3.5
90,7/8/2021,Enzo's Italian,12.27,7.72,4.55,3.3,1.25,5.43,0,6:52:00 PM,1400 Wilmington Pike,West Chester,19382,,,Italian,39.90082,-75.56365,3.5
91,7/6/2021,Enzo's Italian,12.6,4.89,7.71,4.9,2.81,12.22,0,6:52:00 PM,1400 Wilmington Pike,West Chester,19382,,,Italian,39.90082,-75.56365,3.5
92,7/6/2021,Enzo's Italian,18.23,10.88,7.35,4.71,2.81,11.48,0,6:12:00 PM,1400 Wilmington Pike,West Chester,19382,,,Italian,39.90082,-75.56365,3.5
93,7/2/2021,Enzo's Italian,6,4,2,1.43,0.57,2.48,0,5:09:00 PM,1400 Wilmington Pike,West Chester,19382,,,Italian,39.90082,-75.56365,3.5
94,7/2/2021,Enzo's Italian,12.06,7,5.06,3.29,1.77,7.7,0,5:09:00 PM,1400 Wilmington Pike,West Chester,19382,,,Italian,39.90082,-75.56365,3.5
95,6/24/2021,Enzo's Italian,13.6,6.87,6.73,4,2.73,11.87,0,5:20:00 PM,1400 Wilmington Pike,West Chester,19382,,,Italian,39.90082,-75.56365,3.5
96,6/22/2021,Enzo's Italian,11.74,5.95,5.79,3.83,1.96,8.52,0,6:09:00 PM,1400 Wilmington Pike,West Chester,19382,,,Italian,39.90082,-75.56365,3.5
97,7/2/2021,Wawa,5.37,2,3.37,2.95,0.42,1.83,0,12:24:00 PM,1413 Wilmington Pike,West Chester,19382,,,Fast Food,39.90076,-75.56221,2
98,6/25/2021,Wawa,9.36,5,4.36,2.82,1.54,6.7,0,3:49:00 PM,1413 Wilmington Pike,West Chester,19382,,,Fast Food,39.90076,-75.56221,2
99,6/24/2021,Dunkin',9.21,4,5.21,3.62,1.59,6.91,0,12:04:00 PM,1500 Paoli Pike,West Chester,19380,,,Fast Food,39.98975,-75.55007,4.5
100,7/11/2021,Wawa,8.59,3,5.59,3.35,2.24,9.74,0,6:17:00 PM,1501 West Chester Pike,West Chester,19382,,,Fast Food,39.96767,-75.52702,n/a
101,6/24/2021,Wawa,7.75,3.68,4.07,2.64,1.43,6.22,0,1:28:00 PM,1502 West Chester Pike #1,West Chester,19382,,,Fast Food,39.96767,-75.52702,n/a
102,7/11/2021,Dairy Queen,6.12,3.12,3,2.51,0.49,2.13,0,5:40:00 PM,1502 West Chester Pike #2,West Chester,19382,,,Fast Food,39.96541,-75.52557,4
103,7/3/2021,Burger King,8.73,5,3.73,2.64,1.09,4.74,0,3:53:00 PM,1502 West Chester Pike #2,West Chester,19382,,,Fast Food,39.96541,-75.52557,1.5
104,6/30/2021,Burger King,7.42,3.54,3.88,2.26,0.62,2.7,1,12:49:00 PM,1502 West Chester Pike,West Chester,19382,,,Fast Food,39.96541,-75.52557,1.5
105,7/1/2021,Delco's Original Steaks,17.36,5,12.36,5.42,2.14,9.3,4.8,6:35:00 PM,152 Painters Crossing,Chadds Ford,19317,,,Fast Food,39.88249,-75.5493,1
106,7/15/2021,Wendy's,10.62,5,5.62,3.64,1.98,8.61,0,11:41:00 AM,153 Swedesford Rd,Exton,19341,,,Fast Food,40.03453,-75.62668,1
107,7/15/2021,Tsaocaa,8.72,4.06,4.66,2.99,1.67,7.26,0,1:19:00 PM,18 N High St,West Chester,19380,,,Drinks,39.96042,-75.60517,5
108,7/13/2021,Tsaocaa,9.77,4.13,5.64,4.29,1.35,5.87,0,4:51:00 PM,18 N High St,West Chester,19380,,,Drinks,39.96042,-75.60517,5
